,index,Lat,Lon,Temp
675,7,-2.5,-55.0,300.171
676,8,-2.9,-60.56,299.599
677,9,-2.5,-55.0,301.79898
678,10,-2.9,-60.56,299.72998
679,11,-2.5,-55.0,301.58
680,12,-2.9,-60.56,299.66998
681,13,-2.5,-55.0,301.51898
682,14,-2.9,-60.56,300.069
683,15,-2.5,-55.0,301.38098
684,16,-2.9,-60.56,300.06198
685,17,-2.5,-55.0,301.12698
686,18,-2.9,-60.56,300.029
687,19,-2.5,-55.0,300.78
688,20,-2.9,-60.56,299.781
689,21,-2.5,-55.0,300.27
690,22,-2.9,-60.56,299.51498
691,23,-2.5,-55.0,299.742
692,24,-2.9,-60.56,298.553
693,25,-2.5,-55.0,299.167
694,26,-2.9,-60.56,300.505
695,27,-2.5,-55.0,301.41
696,28,-2.9,-60.56,300.682
697,29,-2.5,-55.0,301.801
698,30,-2.9,-60.56,300.574
699,31,-2.5,-55.0,301.663
700,32,-2.9,-60.56,300.115
701,33,-2.5,-55.0,301.298
702,34,-2.9,-60.56,298.664
703,35,-2.5,-55.0,300.525
704,36,-2.9,-60.56,298.236
705,37,-2.5,-55.0,300.126
706,38,-2.9,-60.56,298.35098
707,39,-2.5,-55.0,300.193
708,40,-2.9,-60.56,298.919
709,41,-2.5,-55.0,300.021
710,42,-2.9,-60.56,298.988
711,43,-2.5,-55.0,301.501
712,44,-2.9,-60.56,299.077
713,45,-2.5,-55.0,301.522
714,46,-2.9,-60.56,299.09
715,47,-2.5,-55.0,301.636
716,48,-2.9,-60.56,299.128
717,49,-2.5,-55.0,302.221
718,50,-2.9,-60.56,299.25198
719,51,-2.5,-55.0,302.263
720,52,-2.9,-60.56,298.36398
721,53,-2.5,-55.0,300.818
722,54,-2.9,-60.56,298.33398
723,55,-2.5,-55.0,300.828
724,56,-2.9,-60.56,298.499
725,57,-2.5,-55.0,300.805
726,58,-2.9,-60.56,299.52298
727,59,-2.5,-55.0,301.504
728,60,-2.9,-60.56,299.115
729,61,-2.5,-55.0,301.78
730,0,-2.9,-60.56,299.108
731,1,-2.5,-55.0,300.43298
732,2,-2.9,-60.56,299.38098
733,3,-2.5,-55.0,300.304
734,4,-2.9,-60.56,300.283
735,5,-2.5,-55.0,302.051
736,6,-2.9,-60.56,300.372
737,7,-2.5,-55.0,301.85498
738,8,-2.9,-60.56,300.182
739,9,-2.5,-55.0,302.03198
740,10,-2.9,-60.56,300.221
741,11,-2.5,-55.0,301.78198
742,12,-2.9,-60.56,300.28
743,13,-2.5,-55.0,301.67398
744,14,-2.9,-60.56,299.229
745,15,-2.5,-55.0,301.676
746,16,-2.9,-60.56,299.242
747,17,-2.5,-55.0,301.656
748,18,-2.9,-60.56,299.953
749,19,-2.5,-55.0,302.164
750,20,-2.9,-60.56,299.465
751,21,-2.5,-55.0,301.794
752,22,-2.9,-60.56,299.324
753,23,-2.5,-55.0,301.729
754,24,-2.9,-60.56,299.294
755,25,-2.5,-55.0,301.875
756,26,-2.9,-60.56,299.429
757,27,-2.5,-55.0,302.301
758,28,-2.9,-60.56,299.525
759,29,-2.5,-55.0,302.432
760,30,-2.9,-60.56,300.514
761,31,-2.5,-55.0,302.488
762,32,-2.9,-60.56,298.422
763,33,-2.5,-55.0,301.198
